date,debate,speaker,speaker_id,context,speech_url
1952-10-22,QUESTION: COMMONWEALTH OIL REFINERIES LIMITED,Senator CAMERON,L8E,This sum represents alleged overcharges ou shipments of oil bought for Marshall plan countries under the United State's foreign aid programme?,https://historichansard.net/senate/1952/19521022_senate_20_220/#subdebate-0-0
1959-11-12,APPROPRIATION BILL 1959-60,Senator McKENNA,KTN,My only other thought on this matter of foreign aid concerns the position in Africa.,https://historichansard.net/senate/1959/19591112_senate_23_s16/#debate-24
1960-10-05,QUESTION: WOOL,Senator ROBERTSON,K2S,China was also trading with 80 non-Communist countries and was handing out foreign aid at the rate of £A125 million per annum to Afro-Asian countries in a bold bid for undeveloped trade.,https://historichansard.net/senate/1960/19601005_senate_23_s18/#subdebate-16-0
1961-08-17,QUESTION: AUSTRALIA AND THE EUROPEAN COMMON MARKET,Senator VINCENT,KAC,She cannot give foreign aid forever.,https://historichansard.net/senate/1961/19610817_senate_23_s20/#subdebate-20-0
1962-03-28,QUESTION: WHEAT,Senator WADE,KAF,"The United States of America does, of course, supply large quantities of its own wheat to India under its foreign aid programme.",https://historichansard.net/senate/1962/19620328_senate_24_s21/#subdebate-22-0
1962-04-12,QUESTION: NETHERLANDS-INDONESIAN DISPUTE,Senator SCOTT,K5K,Indonesia has received foreign aid for military development and expansion from both Russia and the United States of America.,https://historichansard.net/senate/1962/19620412_senate_24_s21/#subdebate-32-0
1962-08-21,ESTIMATES AND BUDGET PAPERS 1962-63: National Income and Expenditure 1961-62; and,Senator FITZGERALD,JZB,"Back in 1958, Bishop Fulton Sheen, encouraging support for a United States foreign aid programme, was reported in the press as having made this statement -",https://historichansard.net/senate/1962/19620821_senate_24_s22/#subdebate-26-0
1962-08-22,ESTIMATES AND BUDGET PAPERS 1962-63,Senator BUTTFIELD,K3O,We should not expect to receive any thanks for any foreign aid that we give.,https://historichansard.net/senate/1962/19620822_senate_24_s22/#debate-10
1962-11-28,CUBA: Ministerial Statement,Senator KENNELLY,KPK,"I heard  Mr. Nixon,  when he was here, tell us of the vast amount of money that America was spending in foreign aid.",https://historichansard.net/senate/1962/19621128_senate_24_s22/#subdebate-22-0
1963-05-23,UNITED STATES NAVAL COMMUNICATION STATION AGREEMENT BILL 1963: Second Reading,The PRESIDENT,10000,"I do not want to detract from the extraordinary generosity which has been shown by the people of that country in spending more than  1,000,000,000  dollars on foreign aid since the war, but let us keep these matters in perspective and look at them from a practical point of view.",https://historichansard.net/senate/1963/19630523_senate_24_s23/#subdebate-13-0
1964-08-18,INTERNATIONAL AFFAIRS: Ministerial Statement,Senator TOOHEY,K8N,"
 Mr. Calwell called for the twin objectives of increased expenditure on defence and foreign aid.",https://historichansard.net/senate/1964/19640818_senate_25_s26/#subdebate-38-0
