date,debate,speaker,speaker_id,context,speech_url
1909-07-22,INVALID AND OLD-AGE PENSIONS BILL,Mr BAMFORD,JNV,But it seems to me that the Government wish to liberalize the provision relating to naturalisation quite as much as can be expected.,https://historichansard.net/hofreps/1909/19090722_reps_3_50/#debate-17
1914-12-02,QUESTION: DISMISSAL OF CARRIER FROM DEFENCE DEPARTMENT,Mr BOYD,JRP,,https://historichansard.net/hofreps/1914/19141202_reps_6_75/#subdebate-22-0
1915-08-20,QUESTION: PAY OF WOUNDED SOLDIERS,Mr KELLY,KEA,,https://historichansard.net/hofreps/1915/19150820_reps_6_78/#subdebate-11-0
1915-08-20,QUESTION: PAY OF WOUNDED SOLDIERS,Mr HUGHES,DQC,,https://historichansard.net/hofreps/1915/19150820_reps_6_78/#subdebate-11-0
1917-08-08,NATURALIZATION BILL,Mr BRENNAN,JSC,"
 A person to whom a certificate of naturalisation is granted shall not be liable to any fee or charge in respect  thereof.",https://historichansard.net/hofreps/1917/19170808_reps_7_82/#debate-26
1939-05-05,ALIENS REGISTRATION BILL 1939: Second Reading,Mr MARTENS,KMZ,,https://historichansard.net/hofreps/1939/19390505_reps_15_159/#subdebate-27-0
1941-06-25,"PROFITS' TAX FREE AD LIB: Dear Mr. Baker,",Mr CALWELL,BV8,,https://historichansard.net/hofreps/1941/19410625_reps_16_167/#subdebate-24-6
1954-09-14,NEW DEAL URGED FOB DESERTED WIVES: Australian Atomic Energy Commission,Mr BIRD,JPE,"An alien or a protected person shall not be entitled to obtain a certificate of naturalisation unless, not earlier than one year after his entry into Australia or New Guinea, he makes a declaration in the prescribed form of his intention to apply for the grant of a certificate of naturalisation as an Australian citizen.",https://historichansard.net/hofreps/1954/19540914_reps_21_hor4/#subdebate-30-3
1960-10-06,"ESTIMATES 1960-61: Proposed Vote, £2,497,000",Mr DALY,6V4,"while Council appreciates the offer to assist in the conducting of future ceremonies, at the same time it is felt that consideration could be given to a contribution towards the cost of the Naturalisation functions.",https://historichansard.net/hofreps/1960/19601006_reps_23_hor28/#subdebate-25-3
1960-10-11,"ESTIMATES 1960-61: Proposed Vote, £1,957,000",Mr POLLARD,KYC,,https://historichansard.net/hofreps/1960/19601011_reps_23_hor28/#subdebate-31-9
1960-11-24,NATIONALITY AND CITIZENSHIP BILL 1960: Second Reading,Mr BARNARD,JO8,,https://historichansard.net/hofreps/1960/19601124_reps_23_hor29/#subdebate-25-0
1962-11-29,ADJOURNMENT: Naturalization - Diplomatic Missions - Communism - Television,Mr BRYANT,JSU,,https://historichansard.net/hofreps/1962/19621129_reps_24_hor37/#subdebate-42-0
1964-08-18,APPROPRIATION BILL 1964-65: Second Reading. (Budget Debate.),Mr CALWELL,BV8,,https://historichansard.net/hofreps/1964/19640818_reps_25_hor43/#subdebate-29-0
1964-09-03,APPROPRIATION BILL 1964-65,Mr CONNOR,K0O,"It has warmed my heart to attend over 50 naturalisation ceremonies and see the people, perhaps in halting English but with great sincerity and with great pride, renounce their allegiance to a foreign power or potentate.",https://historichansard.net/hofreps/1964/19640903_reps_25_hor43/#debate-31
