date,debate,speaker,speaker_id,context,speech_url
1901-06-11,SUPPLY BILL,Mr BARTON,009LR,"The matters with which the Prime Minister has to deal are extern.il affairs, the general influx of criminals, the Pacific Islands, the constitution of the office of High Commissioner, communications with States, with the Governor-General, with Executive Council officers, with officers of Parliament after consultation with the  Speaker  and  President,  the naturalization of aliens, emigration and immigration, including such questions as undesirable aliens and the South Sea Islanders, and extra territorial fisheries.",https://historichansard.net/hofreps/1901/19010611_reps_1_1/#debate-4
1901-06-26,PUBLIC SERVICE BILL,Sir WILLIAM McMILLAN,L2G,"I do not think that would be fair, because there is a law in every country that a certain period of residence must elapse before naturalization, and I do not think there should be any further bar.",https://historichansard.net/hofreps/1901/19010626_reps_1_2/#debate-3
1902-02-20,QUESTION: NATURALIZATION. - WESTERN AUSTRALIA,Mr DEAKIN,009MD,"Accepting the honorable member's statement as to the practice in Western Australia, the matter can only be dealt with by an exercise of the Commonwealth power to pass a law in regard to naturalization.",https://historichansard.net/hofreps/1902/19020220_reps_1_8/#subdebate-4-0
1902-04-24,COMMONWEALTH FRANCHISE BILL,Mr MAHON,KLB,1 I would point out  that the  naturalization laws of the various States impose very harsh conditions upon those who desire to become subjects of the King.,https://historichansard.net/hofreps/1902/19020424_reps_1_9/#debate-18
1902-04-24,COMMONWEALTH FRANCHISE BILL,Mr WATSON,F4R,"because I think there is a great danger of an unscrupulous Ministry - if ,such a Ministry did exist in any of the States - issuing naturalization papers wholesale with a  view  of turning an election.",https://historichansard.net/hofreps/1902/19020424_reps_1_9/#debate-18
1902-06-20,ELECTORAL BILL,Mr DEAKIN,009MD,"The returning officer desired to upset my nomination upon the ground that I had not sent in my naturalization papers, when, as a matter of fact, I was born in Canada.",https://historichansard.net/hofreps/1902/19020620_reps_1_11/#debate-4
1903-06-04,ADJOURNMENT: Order of Business : Queensland. Teachers' Volunteer Corps : Chairman of Committees,Sir EDMUND BARTON,009LR,"When the other Chamber has dealt with the standing orders - which, I believe, will take but a very short time - the Postmaster-General will introduce the Senate Elections Bill, and theNaturalizationBilland the Patents Bill will follow.",https://historichansard.net/hofreps/1903/19030604_reps_1_13/#subdebate-22-0
1903-07-07,PRIVILEGE: Publication of Parliamentary Documents,Mr HUGHES,DQC,"The Naturalization Bill now under discussion in the Senate was, I believe, published by the newspapers before it was submitted to that Chamber.",https://historichansard.net/hofreps/1903/19030707_reps_1_14/#subdebate-0-0
1903-07-21,QUESTION: FRIDAY SITTINGS,Mr BROWN,JSM,"Then, in addition, we are promised a Conciliation and Arbitration Bill, an Inter-State Commission Bill, a Patents Bill, a Naturalization Bill, and a Bill to provide for the redistribution of seats in the Federal electorates.",https://historichansard.net/hofreps/1903/19030721_reps_1_14/#subdebate-11-0
1903-07-29,ADJOURNMENT: Orderof Business - Federal Capital Sites,Sir EDMUND BARTON,009LR,"Subsequently we shall deal with the Defence Bill, or possibly I may move the second reading of the Naturalization Bill.",https://historichansard.net/hofreps/1903/19030729_reps_1_15/#subdebate-12-0
1903-07-31,QUESTION: KADINA POST-OFFICE,Mr L E GROOM,KFK,"A person made or hereafter to be made a denizen, or who has been or shall hereafter be naturalized in New South Wales in accordance with the denization or naturalization laws in force for the time being, but subject to the provisions of the Chinese Restriction and Regulation Act of 1888 or any Act amending or consolidating the same.",https://historichansard.net/hofreps/1903/19030731_reps_1_15/#subdebate-2-0
1903-07-31,QUESTION: KADINA POST-OFFICE,Sir WILLIAM LYNE,KIN,"Unlike Asiatic and African aliens, their existence receives no special recognition from the Aliens Act, which contains no provision for their naturalization.",https://historichansard.net/hofreps/1903/19030731_reps_1_15/#subdebate-2-0
