date,debate,speaker,speaker_id,context,speech_url
1901-10-04,POST AND TELEGRAPH BILL,Senator DOBSON,JVC,What about the naturalization question ?,https://historichansard.net/senate/1901/19011004_senate_1_5/#debate-4
1901-11-22,PACIFIC ISLAND LABOURERS BILL: Second Reading,Senator GLASSEY,KLW,"These are such as naturalization and aliens, invalid and old-age pensions, conciliation and arbitration.",https://historichansard.net/senate/1901/19011122_senate_1_6/#subdebate-5-0
1902-01-30,QUESTION: NATURALIZATION,Senator McGREGOR,KTF,Does the naturalization of an alien in any one State of the Commonwealth constitute him a naturalised subjectthroughout the Commonwealth.,https://historichansard.net/senate/1902/19020130_senate_1_7/#subdebate-2-0
1902-04-09,COMMONWEALTH FRANCHISE BILL: Second Reading,Senator O'CONNOR,JYD,"If we do not wish to do so, then we ought to- alter the laws relating to naturalization.'",https://historichansard.net/senate/1902/19020409_senate_1_9/#subdebate-3-0
1902-04-09,COMMONWEALTH FRANCHISE BILL: Second Reading,Senator MATHESON,KSQ,I do not propose to deal with the coloured races on any question of naturalization or nonnaturalization.,https://historichansard.net/senate/1902/19020409_senate_1_9/#subdebate-3-0
1902-04-09,COMMONWEALTH FRANCHISE BILL: Second Reading,Senator STANIFORTH SMITH,K6D,"If we do not desire them to have any voice in the election of the representatives of the people of Australia, we can say so in this Bill, irrespective of the Naturalization Bill-, which has not yet been introduced.",https://historichansard.net/senate/1902/19020409_senate_1_9/#subdebate-3-0
1902-04-09,COMMONWEALTH FRANCHISE BILL: Second Reading,Senator PEARCE,K0F,"In many of the States the issue of naturalization papers has been refused, but we never know what may happen.",https://historichansard.net/senate/1902/19020409_senate_1_9/#subdebate-3-0
1902-04-11,QUESTION: IMPERIAL CONFERENCE,Senator O'CONNOR,JYD,Naturalization.,https://historichansard.net/senate/1902/19020411_senate_1_9/#subdebate-0-0
1903-06-04,SPECIAL ADJOURNMENT: Order of Business,Senator DRAKE,JXO,"The next measure I propose to take is the Senate Elections Bill, after - that the Naturalization Bill, which is not yet before the Senate, and then the Patents Bill.",https://historichansard.net/senate/1903/19030604_senate_1_13/#subdebate-8-0
1903-06-26,QUESTION: MINISTERS IN THE SENATE,Senator Sir JOSIAH SYMON,K7V,"No one will underrate the importance of the standing orders we have passed, or the importance of some of the questions .before us, such as the amendment to clause 2 of the Sugar Bonus Bill which I have moved, the Sugar Bonus Bill itself, the Patents Bill, or the Naturalization Bill.",https://historichansard.net/senate/1903/19030626_senate_1_14/#subdebate-7-0
1903-07-01,NATURALIZATION BILL: Second Reading,Senator DRAKE,JXO,"We give all proper facilities to persons outside to come in and claim naturalization and the rights of a British subject in Australia ; but at the same time we say that the admission of these people to our citizenship shall depend entirely on the question as to whether it is ""most conducive"" to the public good that they should be allowed to become citizens.",https://historichansard.net/senate/1903/19030701_senate_1_14/#subdebate-11-0
1903-07-01,NATURALIZATION BILL: Second Reading,Senator WALKER,KAH,"Personally, I regret that it is not more liberal from the point of view of naturalization ; and in Committee, if certain amendments are not proposed by others, I shall deem it to be my duty to propose them.",https://historichansard.net/senate/1903/19030701_senate_1_14/#subdebate-11-0
1903-07-01,NATURALIZATION BILL: Second Reading,Senator KEATING,KPE,"In the words of Lord  Hatherley,  iu  Udny  v.  Udny,  ""  the question of naturalization and allegiance is distinct from that of domicil.""",https://historichansard.net/senate/1903/19030701_senate_1_14/#subdebate-11-0
1903-07-02,QUESTION: IMMIGRATION RESTRICTION ACT,Senator PEARCE,K0F,"In the case of the two Chinese, Ah Sang and Ah Fook, who were prosecuted in the Melbourne City Police Court on 30th June, under the Immigration Restriction Act, for having made false statements regarding naturalization papers in their possession -",https://historichansard.net/senate/1903/19030702_senate_1_14/#subdebate-2-0
1903-07-02,NATURALIZATION BILL: Second Reading,Senator PEARCE,K0F,"If we recognise all the certificates issued by the States, we shall be countenancing all the loose administration, and the roguery which has been committed in connexion with certificates of naturalization.",https://historichansard.net/senate/1903/19030702_senate_1_14/#subdebate-10-0
