date,debate,speaker,speaker_id,context,speech_url
1901-07-18,CUSTOMS BILL,Mr McCAY,KPM,"At present, of course, we have the two Houses in a state of theutmost friendliness, but if theywereinastate of tension we do not know to what results these little things might possibly lead - what subversion of what we consider is the proper constitutional status of Ministers might flow from it.",https://historichansard.net/hofreps/1901/19010718_reps_1_2/#debate-9
1901-08-02,QUESTION: OLD-AGE PENSIONS,Mr BARTON,009LR,"If we did, an extra burden would be cast upon us, unless some assistance came from the States to the Commonwealth, which would be a subversion of the proper procedure.",https://historichansard.net/hofreps/1901/19010802_reps_1_3/#subdebate-11-0
1902-01-21,TARIFF: In Committee of Ways and Means :,Mr CONROY,K4E,What a subversion of the ordinary way of doing things !,https://historichansard.net/hofreps/1902/19020121_reps_1_7/#subdebate-14-0
1902-02-06,QUESTION: TARIFF,Mr CONROY,K4E,"Is not this proposal an entire subversion of what has gone before, and will not the committee stultify itself if it accepts it?",https://historichansard.net/hofreps/1902/19020206_reps_1_8/#subdebate-8-0
1902-02-12,TARIFF: Item 77. Iron and Steel -,Mr JOSEPH COOK,F4S,Is not such a statement a complete subversion of the protectionist theory that infant industries should be taken under the regis of the State until they become old enough to be left to their own devices?,https://historichansard.net/hofreps/1902/19020212_reps_1_8/#subdebate-7-1
1902-07-30,ELECTORAL BILL,Mr F E McLEAN,KRP,"Honorable members must see that it involves, as the honorable member for South Sydney has said, the subversion of the spirit of the Constitution.",https://historichansard.net/hofreps/1902/19020730_reps_1_11/#debate-8
1904-05-26,QUESTION: MINISTERIAL STATEMENT : PAPER,Mr CONROY,K4E,The honorable member knows perfectly well what is meant - a subversion of all family ties.,https://historichansard.net/hofreps/1904/19040526_reps_2_19/#subdebate-8-0
1904-06-09,CONCILIATION AND ARBITRATION BILL,Mr WILSON,L1N,"If an employe is continually interfering with the business of his employer, thus bringing about the subversion of all discipline, I think that the Arbitration Court ought to uphold the employer in getting rid of him.",https://historichansard.net/hofreps/1904/19040609_reps_2_19/#debate-4
1904-09-23,QUESTION: MOTION OF WANT OF CONFIDENCE,Mr RONALD,KZV,I strongly deprecate the subversion of all other considerations to that of obtaining possession of the Treasury bench.,https://historichansard.net/hofreps/1904/19040923_reps_2_21/#subdebate-0-0
1905-08-16,PAPER: Sea Carriage of Goods Act,Mr JOSEPH COOK,F4S,The same press says that the honorable member and those associated with him are on the track that leads to the subversion of our civilization.,https://historichansard.net/hofreps/1905/19050816_reps_2_25/#subdebate-1-0
1906-06-27,AUSTRALIAN INDUSTRIES PRESERVATION BILL: Second Reading,Mr KELLY,KEA,"Another reason  why  the Bill should be withdrawn, and radically amended before it is again submitted, is that it contains a subversion of the principle of trial by jury.",https://historichansard.net/hofreps/1906/19060627_reps_2_31/#subdebate-10-0
1906-06-28,QUESTION: GENERAL ELECTION,Mr KELLY,KEA,What a hopeless subversion of the underlying principle of the Board system would thereby be involved !,https://historichansard.net/hofreps/1906/19060628_reps_2_31/#subdebate-20-0
