date,debate,speaker,speaker_id,context,speech_url
1905-10-26,ELECTORAL BILL,Senator TRENWITH,K8T,"Of course, we cannot express an opinion now as to the merits of the amendment, but it is of great importance, because it may mean a very much more equitable representation, or, on the other hand, a complete subversion of the principle of representation.",https://historichansard.net/senate/1905/19051026_senate_2_28/#debate-7
1906-09-27,CONSTITUTION ALTERATION (SPECIAL DUTIES) BILL,Senator GIVENS,KLS,"Yes, and we have to obtain old-age pensions by a subversion of the principles which we have held for an equal number of years.",https://historichansard.net/senate/1906/19060927_senate_2_35/#debate-4
1912-07-18,QUESTION: PARLIAMENTARY ELECTIONS : MONETARY DEPOSITS,Senator READY,K2D,I say that the system results in a- subversion of majority rule.,https://historichansard.net/senate/1912/19120718_SENATE_4_64/#subdebate-6-0
1914-12-02,CONCILIATION AND ARBITRATION BILL (No. 2): Second Reading,Senator BAKHAP,K18,"It is a parody on the Commonwealth Constitution, a complete subversion of all its Federal principles, to attempt to enlarge the functions of the Arbitration Court so as to permit of manufactured disputes - disputes which originally were not truly Federal in character - being brought forward to congest the Court and inferentially to throw odium on the Courts of a similar character which may have been erected by the State Governments.",https://historichansard.net/senate/1914/19141202_SENATE_6_75/#subdebate-13-0
1920-03-03,"WOOL PROFITEERING: London, 24th January",Senator BAKHAP,K18,"That being so, and remembering that tho amount to the credit of each individual depositor increased during the war period, we may rest assured that, under a wise and strong Government, any attempted revolution or subversion of the liberties of the Australian Democracy, must end in failure.",https://historichansard.net/senate/1920/19200303_senate_8_91/#subdebate-8-1
1931-11-19,QUESTION: SLAVERY IN NEW GUINEA,Senator MCLACHLAN,KTR,"For them, the only alternative is to organize a vicious or ignorant minority, as a prelude to the subversion of the Constitution by violence.",https://historichansard.net/senate/1931/19311119_senate_12_132/#subdebate-12-0
1932-09-07,CONCILIATION AND ARBITRATION BILL,Senator McLACHLAN,KTR,These oversea criminal organizations that have as their objective the subversion of all forms of government hop from limb to limb and from twig to twig.,https://historichansard.net/senate/1932/19320907_senate_13_135/#debate-11
1932-09-07,CONCILIATION AND ARBITRATION BILL,Senator COLLINGS,K7P,"It seems to me to be a subversion of all that we have hitherto understood to represent Britishjustice, to enact that a certain course taken at a time when it was not an offence against the law should, under this provision, now be an offence.",https://historichansard.net/senate/1932/19320907_senate_13_135/#debate-11
1935-11-27,CRIMES BILL 1935,Senator COLLINGS,K7P,"Honorable senators in Opposition object to the subversion of British justice contained in the words ""proof whereof shall lie upon him.""",https://historichansard.net/senate/1935/19351127_senate_14_148/#debate-11
1939-09-08,NATIONAL SECURITY BILL 1989: Second Reading,Senator LECKIE,KR9,"Since the Leader of the Opposition spoke, other members of that party have denounced the bill lock, stock and barrel, as being a subversion of civil liberties.",https://historichansard.net/senate/1939/19390908_senate_15_161/#subdebate-11-0
1939-12-07,"PATENTS, TRADE MASKS, DESIGNS AND COPYEIGHT (WAR POWERS) BILL 1939: Second Reading",Senator A J McLACHLAN,KTR,"Or will this money, in subversion of the Trading with the Enemy Act, be remitted to the German Government?",https://historichansard.net/senate/1939/19391207_senate_15_162/#subdebate-11-0
1940-04-17,ADDRESS-IN-REPLY,Senator ABBOTT,JNT,The basis of communistic subversion is to get Communists into key positions in all industrial organizations.,https://historichansard.net/senate/1940/19400417_senate_15_163/#debate-17
1950-10-17,COMMUNIST PARTY DISSOLUTION BILL 1950 [No. 2]: Second Reading,Senator O'FLAHERTY,JYY,A man cannot lie declared unless he is supposed to be both a Communist and a person guilty of subversion.,https://historichansard.net/senate/1950/19501017_senate_19_209/#subdebate-11-0
1950-10-19,J _: Clause 3 (Definitions),Senator O'SULLIVAN,JZI,of subversion.,https://historichansard.net/senate/1950/19501019_senate_19_209/#subdebate-13-1
1951-07-12,CONSTITUTION ALTERATION (POWERS TO DEAL WITH COMMUNISTS AND COMMUNISM) BILL 1951: Second Reading,Senator McKENNA,KTN,"I shall shortly revert to the question why, with the Crimes Act on the statute-book and providing ample power to deal with sedition, subversion and so on, the Government has hot even attempted to use that legislation in its eighteen months of office.",https://historichansard.net/senate/1951/19510712_senate_20_213/#subdebate-16-0
1951-07-12,CONSTITUTION ALTERATION (POWERS TO DEAL WITH COMMUNISTS AND COMMUNISM) BILL 1951,Senator SPICER,K6Z,"A pledge was given in November, 1949, that existing laws dealing with sedition and subversion would he strengthened.",https://historichansard.net/senate/1951/19510712_senate_20_213/#debate-18
1951-11-23,QUESTION: COMMUNISM,Senator O'SULLIVAN,JZI,"If  Senator Armstrong  really believes that there is no sabotage or subversion in this country, I am amazed.",https://historichansard.net/senate/1951/19511123_senate_20_215/#subdebate-10-0
1954-04-08,QUESTION: INDO-CHINA,Senator SPICER,K6Z,"But experience in Greece and in eastern Europe must surely be a warning of the danger to the independence and liberties of thesepeople if they are exposed, under the guise of peaceful negotiation, to the subversion and political  manoeuvring  of aggressive communism, supported by a neighbouring and powerful Communist State.",https://historichansard.net/senate/1954/19540408_senate_20_s3/#subdebate-15-0
1954-08-10,QUESTION: SOUTH-EAST ASIA,Senator SPICER,K6Z,"No one is very happy about the motives of the Communist powers in making this settlement, and none of us believes that Communism has abandoned itsobjective of world domination or its tactics of taking over countries one by one by infiltration and subversion.",https://historichansard.net/senate/1954/19540810_senate_21_s4/#subdebate-21-0
