date,debate,speaker,speaker_id,context,speech_url
1901-07-19,QUESTION: INSTRUCTIONS TO THE GOVERNORGENERAL,Mr CROUCH,K7U,"Whether he will, on behalf of the Commonwealth, and as His Majesty's principal Minister of State in Australia, respectfully protest against the re- issue or continuance of such instructions, as subversive to responsible Government and to the rights granted the people of Australia under the Constitution?",https://historichansard.net/hofreps/1901/19010719_reps_1_3/#subdebate-4-0
1901-08-01,DEFENCE BILL: Second Reading,Mr SALMON,L0K,The system is too subversive of the principles of democracy.,https://historichansard.net/hofreps/1901/19010801_reps_1_3/#subdebate-9-0
1901-10-02,QUESTION: FIFTH VICTORIAN CONTINGENT,Mr FOWLER,JWG,"Whether the use of such language is not subversive of ""discipline, and calculated to produce mutiny ?",https://historichansard.net/hofreps/1901/19011002_reps_1_4/#subdebate-0-0
1901-10-10,"STATEMENT SHOWING THE AMOUNTS RECEIVE!) BV WHITES AND ALIENS OUT OF THE VALUE OF AN AVERAGE QUEENSLAND SUGAR PRODUCTION OF 150,000 TONS",Mr L E GROOM,KFK,"But in my opinion that would have been utterly wrong, and subversive of the principles of federation.",https://historichansard.net/hofreps/1901/19011010_reps_1_5/#debate-14
1901-12-03,"TARIFF: Special, Exemptions -",Mr FISHER,F4N,"There will be plenty of other opportunities if the right honorable gentleman wishes to impress the committee with the way in which the expenditure of the Commonwealth is piling up, but I submit that it is not in order, and is subversive of every parliamentary rule, that the right honorable gentleman should be pursuing the matter now in this elaborate, comprehensive way.",https://historichansard.net/hofreps/1901/19011203_reps_1_6/#subdebate-2-1
1902-07-29,ELECTORAL BILL,Sir EDWARD BRADDON,JRR,"Anything more repugnant to common-sense, or more utterly subversive of the intention of many honorable, members to prevent bribery and corruption cannot well be imagined.",https://historichansard.net/hofreps/1902/19020729_reps_1_11/#debate-4
1902-07-30,ELECTORAL BILL,Mr G B EDWARDS,KDD,"It is totally subversive of all democratic ideas ; it is injurious to the best interests of the Commonwealth ; and if certain  State Parliaments have enacted that which is impolitic and unwise, that is no reason why we should follow their example.",https://historichansard.net/hofreps/1902/19020730_reps_1_11/#debate-8
1902-07-30,ELECTORAL BILL,Mr G B EDWARDS,KDD,"I think that the honorable and learned member for Bendigo's position is unassailable, and that any such alteration as that proposed by the honorable member for Grampians would  be subversive of  the spirit of the Constitution.",https://historichansard.net/hofreps/1902/19020730_reps_1_11/#debate-8
1902-07-30,ELECTORAL BILL,Mr WINTER COOKE,K4P,"This proposal has been called ""revolutionary "" by the honorable and learned mem.ber for Bendigo, and ""subversive of the spirit of the Constitution"" by the honorable members for South Sydney and Lang, but the Constitution gives us the right to make this alteration.",https://historichansard.net/hofreps/1902/19020730_reps_1_11/#debate-8
1902-08-08,CUSTOMS TARIFF BILL,Mr G B EDWARDS,KDD,"I considered that after the Legislature had agreed upon a Tariff we  could  not under any circumstances ask for the suspension of that Tariff in the interests of any one or more of the States, because such an action would be subversive of all trading regulations, and would upset the plans of all commercial men.",https://historichansard.net/hofreps/1902/19020808_reps_1_11/#debate-3
1903-07-09,NAVAL AGREEMENT BILL: Second Reading,Mr SPEAKER,10000,"It would be subversive of all discipline, contentment, and good fellowship to have two sets of men doing the same work, holding the same nominal rank, and yet receiving two totally different scales of pay on board one of His Majesty's ships.",https://historichansard.net/hofreps/1903/19030709_reps_1_14/#subdebate-10-0
1903-07-16,NAVAL AGREEMENT BILL,Mr PAGE,KXO,"He writes : - "" It would be subversive of all discipline, contentment, and good fellowship to have two sets of nien doing the same work, holding the same nominal rank, and yet receiving two totally different scales of pay on board one of  His  Majesty's ships.",https://historichansard.net/hofreps/1903/19030716_reps_1_14/#debate-7
1904-06-17,QUESTION: MILITARY FORCES : LT.-COL. NEILD,Mr PAGE,KXO,Is it not subversive of military discipline for an officer occupying the position in the Military Forces of the Commonwealth held by Lt.-Col. Neild to write in the strain in which he has written ?,https://historichansard.net/hofreps/1904/19040617_reps_2_19/#subdebate-0-0
1904-07-06,CONCILIATION AND ARBITRATION BILL,Mr DEAKIN,009MD,"But what I say is that to give the organizations a political character would be subversive of the very purpose of their creation, and of their character and independence.",https://historichansard.net/hofreps/1904/19040706_reps_2_20/#debate-4
1904-09-21,QUESTION: MOTION OF WANT OF CONFIDENCE,Mr ROBINSON,KZH,"That is a proviso which, in my opinion, is directly subversive of Ministerial responsibility.",https://historichansard.net/hofreps/1904/19040921_reps_2_21/#subdebate-1-0
1904-10-04,QUESTION: MOTION OF WANT OF CONFIDENCE,Mr BROWN,JSM,"During the course of this debate it has frequently been urged that the Labour Party is a socialistic party, and that Socialism is subversive of individual liberty, of good government, and of the best interests of the community generally.",https://historichansard.net/hofreps/1904/19041004_reps_2_22/#subdebate-1-0
1904-10-06,MOTION OF WANT OF CONFIDENCE,Mr KNOX,KYT,"If to assist to promulgate and carry into effect legislation which is for the good of the people, but at the same time is not destructive, or revolutionary, subversive or coercive in its character, is to be conservative, I am a Conservative.",https://historichansard.net/hofreps/1904/19041006_reps_2_22/#debate-1
1904-11-15,QUESTION: SUPPLY (1904-5),Mr WATSON,F4R,"That, to my mind, would be subversive of discipline, and would lead to a great deal of friction.",https://historichansard.net/hofreps/1904/19041115_reps_2_23/#subdebate-13-0
1905-07-07,QUESTION: NEW ADMINISTRATION,Mr REID,F4P,"He also discovered that their methods of organization outside, and their methods inside, were such as were subversive of the true principles of parliamentary government.",https://historichansard.net/hofreps/1905/19050707_reps_2_25/#subdebate-0-0
1905-09-14,QUESTION: THOS. J. WEBB,Mr PAGE,KXO,"Having served in the ranks, I know how important it is that discipline should be maintained, and, like the hon- orable member for Wentworth, I fear that a Parliamentary inquiry might be subversive of true discipline.",https://historichansard.net/hofreps/1905/19050914_reps_2_26/#subdebate-8-0
1905-11-21,QUESTION: NEW STANDING ORDER: LIMITATION OF DEBATE,Mr McCAY,KPM,"I venture to prophesy that if the contemplated objects of the Government and their friends be achieved, Australia will have reason to rue it, and will have reason to regret the  adoption of a course which must have the effect of producing results from which the whole community will suffer, to say nothing of prolonging a state of affairs which the Prime Minister not two years ago described as intolerable and subversive of the principles of good government.",https://historichansard.net/hofreps/1905/19051121_reps_2_29/#subdebate-3-0
1905-11-22,QUESTION: NEW STANDING ORDER: LIMITATION OF DEBATE,Mr KELLY,KEA,"The three-party system of control', which at present prevails in Australia, is one which the Prime Minister himself has described as subversive of representative government, and surely it is the duty of the Opposition, when we have the Prime Minister's assurance on that point, to be especially careful that any controversial legislation brought before the House shall be passed not only by a majority of the House, but in accordance with ""the feeling of the majority of the people.",https://historichansard.net/hofreps/1905/19051122_reps_2_29/#subdebate-7-0
1905-11-30,TRADE MARKS BILL,Mr WILSON,L1N,"Federated Employers' Executive strongly averse to proposed amendments, Trade Marks Bill, being in nature of express class legislation, and subversive of good relations between employers and workers, interfering with individual common law rights, and calculated to embarrass and embitter all employing classes.",https://historichansard.net/hofreps/1905/19051130_reps_2_29/#debate-7
1905-11-30,TRADE MARKS BILL,Mr KNOX,KYT,This council protests against legislation at once dangerous and unjust as subversive of liberty and the well-being and peace of the community.,https://historichansard.net/hofreps/1905/19051130_reps_2_29/#debate-7
1906-06-13,QUESTION: ELECTORAL DIVISIONS : NEW SOUTH WALES,Mr KELLY,KEA,The step was subversive absolutely of equality of representation in this chamber.,https://historichansard.net/hofreps/1906/19060613_reps_2_31/#subdebate-27-0
1906-07-10,AUSTRALIAN INDUSTRIES PRESERVATION BILL,Mr KELLY,KEA,"The Bill might prove absolutely subversive of the principles of the Tariff Act, which, in almost every section, declares that the object of the Australian people is to get raw material as cheaply as possible.",https://historichansard.net/hofreps/1906/19060710_reps_2_31/#debate-7
1906-08-07,BUDGET: In Committee of Supply:,Mr HARPER,KNI,When the right honorable gentleman considers this phase of the question - as he will do if he has not done so already - he will see that this is a position that would be absolutely subversive of the best interests of the Commonwealth.,https://historichansard.net/hofreps/1906/19060807_reps_2_32/#subdebate-7-0
1906-08-16,BUDGET: In Committee of Supply:,Mr KNOX,KYT,"We should clearly and definitely indicate that, as a Parliament, we feel that we have no right to take any step that would be subversive of the claims of the various States.",https://historichansard.net/hofreps/1906/19060816_reps_2_33/#subdebate-8-0
1907-07-10,QUESTION: GOVERNOR-GENERAL'S SPEECH : ADDRESS-IN-REPLY,Mr J H' CATTS,JWO,"that it has a tendency to the creation of servility, that it tends to set up orders of beings in the State, different castes and gradations in society, and all that kind of thing which is subversive of the great intelligence and education of our time.",https://historichansard.net/hofreps/1907/19070710_reps_3_36/#subdebate-9-0
1907-09-18,QUESTION: SUPPLY,Mr MCDONALD,KQP,"I stated that considerable dissatisfaction exists throughout Australia in regard to Federation, and, in reply to an interjection, I said that some of the legislation of the Commonwealth Parliament has been subversive of the rights of the States.",https://historichansard.net/hofreps/1907/19070918_reps_3_39/#subdebate-17-0
1908-03-18,AUSTRALIAN INDUSTRIES PRESERVATION BILL,Mr JOHNSON,K99,"The issue between the Opposition and the Government is not whether injurious trusts should be suppressed, but as to whether certain words in the Bill are or are not subversive of fair and just principles, and we have made a reasonable appeal to the Government to agree to an alteration, which, without weakening the measure, will get rid of some of its more objectionable features.",https://historichansard.net/hofreps/1908/19080318_reps_3_44/#debate-10
1908-05-21,COMMONWEALTH GAZETTE: Prohibited Correspondence : Messrs. Freeman and Wallace,Mr W H IRVINE,KJE,"my part, I am of opinion that the Postmaster-General's action was justified by the facts of the case, and I was entirely with him until I heard his extraordinary statement, which showed his attitude and that of the Ministry to be subversive of the very principle of responsible government.",https://historichansard.net/hofreps/1908/19080521_reps_3_46/#subdebate-17-0
1908-06-05,QUESTION: DEFENCE,Mr SPEAKER,10000,"This is subversive of all the principles which ought to govern question time, and I must ask honorable members to refrain from such interruptions.",https://historichansard.net/hofreps/1908/19080605_reps_3_46/#subdebate-4-0
