date,debate,speaker,speaker_id,context,speech_url
1901-09-20,PUBLIC SERVICE BILL,Senator STANIFORTH SMITH,K6D,"The commissioner will write to the head of the department, or to the permanent head ; he could not write to a petty officer, because that would be subversive of all discipline.",https://historichansard.net/senate/1901/19010920_senate_1_4/#debate-7
1901-10-02,POST AND TELEGRAPH DEPARTMENT: Political Influence,Senator DRAKE,JXO,"I cannot see that any valid reason has been advanced against his transfer, and fully agree with the remarks of the  Deputy  PostmasterGeneral, Melbourne, that such behaviour if allowed would be subversive of all discipline, and would make the efficient management of the department almost impossible.",https://historichansard.net/senate/1901/19011002_senate_1_4/#subdebate-5-0
1901-10-03,POST AND TELEGRAPH BILL,Senator STANIFORTH SMITH,K6D,"I think there is nothing so subversive to a strong, healthy, robust Imperial spirit as the pitiable practice of saying that we cannot use our own discretion ; that we are really not a selfgoverning country, and that in all these little matters we must run to the British Government and ask them whether our proposals are acceptable to them before we cany them out.",https://historichansard.net/senate/1901/19011003_senate_1_4/#debate-6
1902-02-26,ELECTORAL BILL: Second Reading,Senator BEST,JPC,"I submit that undue expenditure in election expenses is not only subversive of the Constitution itself, but a direct menace to the freedom of election.",https://historichansard.net/senate/1902/19020226_senate_1_8/#subdebate-6-0
1903-06-12,QUESTION: PUBLIC SERVICE REGULATION 41,Senator Sir JOSIAH SYMON,K7V,"It would be a public scandal, it would be subversive of all the best principles of government if the public servants were permitted to do so.",https://historichansard.net/senate/1903/19030612_senate_1_13/#subdebate-1-0
1903-07-02,SUPPLY BILL (No. 1),Senator BARRETT,K1O,"It would be difficult to hold an officer of the citizen forces, earning his living on a newspaper, responsible for what appears in it, unless it is established that he was knowingly a party to an attack subversive of discipline ; for to do so would prevent any one employed on the press becoming a citizen soldier.",https://historichansard.net/senate/1903/19030702_senate_1_14/#debate-8
1903-08-20,NAVAL AGREEMENT BILL,Senator O'CONNOR,JYD,"It would be subversive of all discipline, contentment, and good fellowship to have two sets of men doing the same work, holding the same nominal rank, and yet receiving two totally different rates of pay on board one of His Majesty's ships.",https://historichansard.net/senate/1903/19030820_senate_1_16/#debate-6
1904-05-26,DEFENCE REGULATIONS: In Committee:,Senator DOBSON,JVC,"If he does not do that he can retain his command, and to some extent keep his mouth shut and, at all events, not criticise the General Officer Commanding in such a way as to be subversive of discipline.",https://historichansard.net/senate/1904/19040526_senate_2_19/#subdebate-3-1
1905-08-02,QUESTION: ABSENCE OF SENATORS: ROYAL COMMISSIONS,Senator GIVENS,KLS,That would be subversive of every good principle which should guide the appointment and1 management of Royal Commissions.,https://historichansard.net/senate/1905/19050802_senate_2_25/#subdebate-9-0
1907-02-21,QUESTION: GOVERNOR-GENERAL'S SPEECH: ADDRE SS-IN-RE PLY,Senator DOBSON,JVC,He has never done a single thing to end what he said was absolutely subversive of all responsible government.,https://historichansard.net/senate/1907/19070221_senate_3_36/#subdebate-12-0
1907-10-03,QUESTION: COMPULSORY LIFE ASSURANCE: OLD-AGE PENSIONS,The PRESIDENT,10000,"The poor laws founded upon a noble principle and worthy of a Christian nation ha-ve, nevertheless, proved in practice to be debasing and subversive of order and morality.",https://historichansard.net/senate/1907/19071003_senate_3_39_c1/#subdebate-11-0
1907-10-10,AUSTRALIAN INDUSTRIES PRESERVATION BILL,Senator STEWART,K7D,"If we apply that principle to any other human relation we see how utterly wicked, how abandoned, and how subversive of every principle of justice it is.",https://historichansard.net/senate/1907/19071010_senate_3_40/#debate-13
1907-10-11,AUSTRALIAN INDUSTRIES PRESERVATION- BILL: Second Reading,Senator MACFARLANE,KSH,The Russian method is for Government officials to arrest a person on suspicion of holding opinions subversive to the public good.,https://historichansard.net/senate/1907/19071011_senate_3_40/#subdebate-3-0
1907-10-24,AUSTRALIAN INDUSTRIES: Clause 4 -,Senator STEWART,K7D,Such a practice is subversive of all our ideas of justice.,https://historichansard.net/senate/1907/19071024_senate_3_40/#subdebate-10-0
1908-11-04,QUESTION: OBJECTION TO PRESIDENT'S RULING,Senator TRENWITH,K8T,"I am now perfectly clear that if we carry  Senator Stewart's  motion, we shall say in effect that to prevent an honorable senator discussing the opinion of any party, is subversive of liberty in relation to the discussion of land nationalization.",https://historichansard.net/senate/1908/19081104_senate_3_48/#subdebate-11-0
1908-12-10,APPROPRIATION BILL,Senator MILLEN,KUL,"Hut it seems to me to be absolutely subversive of all parliamentary control for Ministers to be permitted to send the head of a Department, who is paid to be here - and whose duties here have to be discharged - to the other side of the world to temporarily fill an office, which he is now to be permitted to occupy permanently.",https://historichansard.net/senate/1908/19081210_senate_3_48/#debate-10
1908-12-11,APPROPRIATION BILL,Senator GIVENS,KLS,"That is entirely subversive of the interests of the taxpayer, many of whom have to endure great hardships, and to submit to heavy taxation in order that these handsome emoluments may be paid to public officers.",https://historichansard.net/senate/1908/19081211_senate_3_48/#debate-14
1909-06-25,MINISTERIAL STATEMENT: Policy of New Administration,The PRESIDENT,10000,"We find honorable senators on the Government side saying they are not bound by their pledges to the people; that such pledges need only be made for the purpose of securing their election, and that as soon as they enter Parliament they can go behind the backs of the people, and do everything which is subversive of their promises.",https://historichansard.net/senate/1909/19090625_senate_3_49/#subdebate-2-0
1909-06-30,"MINISTERIAL STATEMENT: Dear Sir,",Senator TRENWITH,K8T,"But generally speaking, discussions of this character are subversive of progress and of useful work.",https://historichansard.net/senate/1909/19090630_senate_3_49/#subdebate-4-1
1909-07-23,AUSTRALIAN INDUSTRIES PRESERVATION BILL: Second Reading,Senator TURLEY,K8W,"Senator Chataway's  objection was that men, before they get employment, are compelled to sign an agree- ment which is subversive of their independence and manhood, and that was why I interjected that it is one of the results of anti-Socialism.",https://historichansard.net/senate/1909/19090723_senate_3_50/#subdebate-5-0
1909-10-22,DISSENT FROM RULING: Instructions to Committee,Senator DOBSON,JVC,"Having by agreeing to the second reading affirmed the principle contained in those two clauses, it would be subversive of all Parliamentary practice to allow that affirmation to be nullified by an instruction to the Committee on the Bill.",https://historichansard.net/senate/1909/19091022_senate_3_53/#subdebate-2-0
1909-11-24,CONSTITUTION ALTERATION (FINANCE) BILL: Second Reading,Senator TRENWITH,K8T,I do not believe that this Bill is necessarily subversive of the interests of the Protectionist cause.,https://historichansard.net/senate/1909/19091124_senate_3_54/#subdebate-11-0
1911-10-05,PAPER: Compulsory Training : Treasonable Literature,Senator PEARCE,K0F,"I venture to say that in this very city, on any Sunday afternoon, you can go down to the Yarra Bank and hear doctrines preached by one or two individuals that are wholly subversive of the laws of State and Commonwealth.",https://historichansard.net/senate/1911/19111005_senate_4_60/#subdebate-0-0
1911-10-19,ELECTORAL BILL: Second Reading,The PRESIDENT,10000,"The first is, that this or similar proposals are subversive of the first principles of justice, and the next is that the reason why they are necessary in Customs Acts is the peculiar difficulty of proving offences against the Customs.",https://historichansard.net/senate/1911/19111019_senate_4_61/#subdebate-10-0
1911-10-19,ELECTORAL BILL: Second Reading,Senator McCOLL,KQ4,"We have had introduced into this country preference to unionists, one of the most pernicious principles, and the most subversive of liberty - the strongest attack on individual 'freedom ever made in Australia.",https://historichansard.net/senate/1911/19111019_senate_4_61/#subdebate-10-0
